Repository,CommitID,Message,Date
DL-Simplified,fbdba48c69add566988802b6ebfc884b737dd432,adding supportive images,2024-02-28 17:36:04+00:00
DL-Simplified,58f751968f3aded0b3b1a5a6e376486fc6e6c1fb,Create images folder,2024-02-28 17:34:53+00:00
DL-Simplified,36f71992679666500d6ddd75c191af5bcbe597e0,uploading model file,2024-02-28 17:33:58+00:00
DL-Simplified,e625720b9d3fd6566b9182c5bf3ba924abe3bb9a,Create model folder,2024-02-28 17:33:26+00:00
DL-Simplified,e3ae68096842901f4822e8199f7aaaa1d4cf588c,uploading data as images,2024-02-28 17:32:51+00:00
DL-Simplified,e5f3d768be57a88ff0ffb7310eb709ccf8b07981,Create Bill Data Extraction project,2024-02-28 17:30:55+00:00
CalcDiverse,e6119b919bda03b24b5998310ef9acfc735a28e9,Update README.md,2024-02-28 17:25:28+00:00
CalcDiverse,0870b88cb66e7805c779dba172c68c3ceacab9c9,Update README.md,2024-02-28 17:24:33+00:00
CalcDiverse,0033a7c0098d5cdd6c96226f8224792f324b750a,Update README.md,2024-02-28 17:24:15+00:00
CalcDiverse,8336531e4bc1890213e487a4f61082920f60d65f,Update README.md,2024-02-28 17:23:58+00:00
CalcDiverse,014e1b44d1086df3742750ec079da180221c5089,adding sample output,2024-02-28 17:22:11+00:00
CalcDiverse,60d35a2aa3b881e95d0075aa17b3063d69a16a06,Update README.md,2024-02-28 17:18:51+00:00
CalcDiverse,72e8b11f646eb02d32f157ebb0eb9c13d3e1d865,adding codefiles,2024-02-28 17:17:16+00:00
CalcDiverse,f45104f4ffbc101ddcb9437055ccc0fee8dbabd4,Create Prompt Box Calculator,2024-02-28 17:16:56+00:00
CalcDiverse,4be958debcf1571f9b49d3f7d1b1a02b2f630327,Delete Prompt box Calculator directory,2024-02-28 17:16:18+00:00
CalcDiverse,f0ceb9db418b9b80777020cb1a431632c479ba1d,upload code files,2024-02-28 17:16:01+00:00
CalcDiverse,653957b5c9c4008209316ac844a66246e410c43e,Create Prompt Box Calculator,2024-02-28 17:15:05+00:00
DL-Simplified,2613e50c43b9f7948742baa75188bf757d93d75b,Update README.md,2024-02-28 16:14:02+00:00
DL-Simplified,af1692dc610933a82d2d7bd6a5d42f71ff808d3f,removing excess image,2024-02-28 16:12:20+00:00
DL-Simplified,ffec39c66e1edb2dd99dc447e97182b59faeff5b,finalizing completed model,2024-02-28 16:11:41+00:00
DL-Simplified,0d5059cfc3c4a35ba501ea8eda5a90747c104138,upload and check dataset,2024-02-28 16:11:02+00:00
DL-Simplified,a30d2072d66243f040e997bf50d3e1c65bd3f887,Add files via upload,2024-02-28 16:09:34+00:00
DL-Simplified,dd80be9c2464c12a69c9f06dd6024e263b92179e,Create dataset folder,2024-02-28 16:08:59+00:00
DL-Simplified,2a0a357c6918722187743646a0d7de56c87d11a6,Add files via upload,2024-02-28 16:08:13+00:00
DL-Simplified,12a8430132f6c1e4c33c761c01176e12aab42f0c,Create images folder,2024-02-28 16:07:57+00:00
DL-Simplified,419f6208c72e49ea5b5152c053dd347fbfaeb11e,Add files via upload,2024-02-28 16:07:14+00:00
DL-Simplified,39fcac12240e7280399ae72df0f7b197a23ce35a,Create model folder,2024-02-28 16:06:54+00:00
DL-Simplified,02bb30e80fbba9ee9a5305eb1919ff48a156824e,Create Heart Disease Prediction project,2024-02-28 16:02:37+00:00
Python-Gamez-Arena,1dafa7898f7a3c8858d129bc1cb189855b53b8e5,Update README.md,2024-02-28 15:20:00+00:00
Python-Gamez-Arena,af46471591b7cda4bbdcfcefb2a01f03abf1c5fc,Update README.md,2024-02-28 15:19:40+00:00
Python-Gamez-Arena,ed23a98583d006c1b81ce75741fb228e977abebb,displaying output sample in README.md,2024-02-28 15:19:10+00:00
Python-Gamez-Arena,e4fb28edf1cc2612c50851db2da0bc0905fbd358,uploading output image,2024-02-28 15:15:52+00:00
Python-Gamez-Arena,67946ca6ae2134722e4113285c165c3576e4c08f,Update README.md,2024-02-28 15:11:06+00:00
Python-Gamez-Arena,fbcd12e4789b09ef2e6e2a6eac8b8f5055147463,Delete wrong file,2024-02-28 15:10:15+00:00
